time_abs_s,time_window_s,q_L_deg,dq_L_deg_s,dq_int_L_deg_s,confidence_L,B_L,D_L,tau_ff_L,tau_damp_L,tau_exo_L,tau_measured_L,q_R_deg,dq_R_deg_s,dq_int_R_deg_s,confidence_R,B_R,D_R,tau_ff_R,tau_damp_R,tau_exo_R,tau_measured_R
210.0001,0,-19.9356666666667,-143.6971,-143.50841802668,0,0,0,-0,0,0,-10.8705206666667,-8.15276666666667,14.3839666666667,20.8131205968472,0,0,0,0,0,0,-4.991495
210.0101,0.00999999999999091,-21.031075,-140.747075,-137.175338697246,0.0146718415991384,0.0293436831982768,0.0146718415991384,-0.0702535110885304,0.000914621455772804,-0.0693388896327576,-9.7953925,-8.102875,14.175425,17.7318489882371,0.014128593938033,0.028257187876066,0.014128593938033,0.00874501040929621,0.000876980308642251,0.00962199071793846,-5.335293
210.0226,0.022500000000008,-21.97068,-139.86816,-132.338842344562,0.0322109044615874,0.0644218089231747,0.0322109044615874,-0.148798178279237,0.0042328795195969,-0.14456529875964,-8.7189952,-8.0235,15.99122,15.8018689818539,0.0324699932699312,0.0649399865398623,0.0324699932699312,0.0179101003199015,-0.00010730679182843,0.0178027935280731,-5.6659352
210.0326,0.0324999999999989,-23.44394,-136.80418,-125.632723097168,0.0455789540180002,0.0911579080360004,0.0455789540180002,-0.199882370319947,0.00888692543875721,-0.19099544488119,-6.5716518,-7.85542,16.19874,14.9938565100637,0.0473483233563628,0.0946966467127257,0.0473483233563628,0.0247813703707548,-0.000995696604061782,0.023785673766693,-6.324272
210.0426,0.0424999999999898,-24.87436,-134.44822,-120.348512365111,0.0583736288830063,0.116747257766013,0.0583736288830063,-0.245225022056601,0.0143649516217854,-0.230860070434815,-4.4258386,-7.65766,19.71436,14.9908080237855,0.061830969764468,0.123661939528936,0.061830969764468,0.0323547809468928,-0.00509744001921691,0.0272573409276759,-6.9422354
210.0526,0.0525000000000091,-26.26522,-131.9946,-116.734022979021,0.0708114607001919,0.141622921400384,0.0708114607001919,-0.288541555793541,0.018860442412457,-0.269681113381084,-2.301935,-7.39948,23.36426,15.4336873034644,0.0757266890670081,0.151453378134016,0.0757266890670081,0.0407967933945298,-0.0104816797645058,0.030315113630024,-7.5172136
210.0626,0.0625,-27.35178,-129.80954,-115.34457712954,0.083217417984988,0.166434835969976,0.083217417984988,-0.335057065943188,0.0210091715578033,-0.314047894385385,-0.217608,-7.12042,25.63476,16.2906538127622,0.0892191889482629,0.178438377896526,0.0892191889482629,0.0507345892826086,-0.0145503487788564,0.0361842405037522,-8.0486984
210.0726,0.0724999999999909,-28.41964,-126.83104,-114.024967408417,0.0958375711887725,0.191675142377545,0.0958375711887725,-0.38145483050131,0.0214204764133493,-0.36003435408796,1.8092542,-6.84026,26.5869,17.5213227808505,0.102612640999795,0.205225281999589,0.102612640999795,0.0627588705357406,-0.0162358000632857,0.046523070472455,-8.5386316
210.0826,0.0825000000000102,-30.00058,-123.13232,-109.540583828853,0.10853392779769,0.21706785559538,0.10853392779769,-0.414999845267239,0.0257464777472435,-0.389253367519995,3.764581,-6.5634,27.8076,18.3460879326985,0.115995847455523,0.231991694911046,0.115995847455523,0.0742836570278618,-0.0191549206553112,0.0551287363725505,-8.990412
210.0926,0.0925000000000011,-31.30466,-120.50782,-106.825944034332,0.121153856144182,0.242307712288364,0.121153856144182,-0.451774115510438,0.0289307876882719,-0.422843327822166,5.6420854,-6.23822,27.6245,19.1237824590093,0.129428347217191,0.258856694434382,0.129428347217191,0.0863993675361563,-0.0192027027268106,0.0671966648093456,-9.4083196
210.1026,0.102499999999992,-32.34398,-119.20168,-104.985634293495,0.133719303205956,0.267438606411912,0.133719303205956,-0.490039789445785,0.0331780061703112,-0.456861783275474,7.4390862,-5.92182,26.64794,19.181499841719,0.143034949846991,0.286069899693983,0.143034949846991,0.0957705747671656,-0.0186394513287221,0.0771311234384435,-9.7975518
210.1126,0.112499999999983,-33.83592,-116.34524,-101.820387588768,0.146211186695271,0.292422373390542,0.146211186695271,-0.519664094830127,0.0370654858990961,-0.48259860893103,9.1550406,-5.65596,26.31836,19.2427456608592,0.156765916192057,0.313531832384113,0.156765916192057,0.105299436684914,-0.0193594567335243,0.08593997995139,-10.1631584
210.1267,0.126599999999996,-35.26634,-112.18264,-98.8679086518578,0.163935645282438,0.327871290564875,0.163935645282438,-0.565765036807524,0.0380963326421206,-0.527668704165404,10.7922238,-5.44064,25.36622,19.4584254398933,0.176318363396432,0.352636726792863,0.176318363396432,0.119760225168072,-0.018180268720884,0.101579956447188,-10.5087784
210.1367,0.136599999999987,-36.36276,-107.55618,-96.8802148634697,0.176842062064905,0.35368412412981,0.176842062064905,-0.598036962420074,0.0329511127228138,-0.56508584969726,12.3503004,-5.2341,23.2422,19.3547886798606,0.190463570428814,0.380927140857627,0.190463570428814,0.128679012248004,-0.0129225964992777,0.115756415748726,-10.8370888
