t_s,mat_tau_L,mat_tau_R,local_ref_single_L,local_ref_single_R,local_deploy_single_L,local_deploy_single_R,local_ref_mcmean_L,local_ref_mcmean_R,local_deploy_mcmean_L,local_deploy_mcmean_R,local_ref_matcfg_L,local_ref_matcfg_R,local_deploy_matcfg_L,local_deploy_matcfg_R
50.009,0.0,0.0,0.02434118208493689,0.015489042835046984,0.024737006053328514,0.016025861725211143,0.024347346396634315,0.016231005773893924,0.024614829756319522,0.015975683834403752,0.02750284812268631,0.018781422989104773,0.024737006053328514,0.016025861725211143
50.019,0.0256089442719429,0.0208409327171557,0.043601084063031835,0.030701165488840932,0.0438997708261013,0.030808167532086372,0.04313762258353391,0.03368395169066866,0.042963451519608495,0.03268978800624609,0.05225126865106098,0.04076691469643505,0.04383579641580582,0.03194219991564751
50.029,0.0537935878246094,0.0406510164936079,0.059288956395668294,0.03670389411608304,0.05958138406276703,0.03377249836921692,0.05849711425035118,0.0384912485367748,0.059008630365133284,0.03652258850634098,0.07966354062478832,0.05993308669667869,0.06313149631023407,0.04028704762458801
50.0389,0.0816254974385205,0.0561754291562086,0.09324390846370131,0.050813311047398405,0.09274659305810928,0.04999903216958046,0.09155276101037216,0.053312906746749766,0.09281132221221924,0.050264468789100646,0.1059604004342982,0.07464611429465338,0.08875264972448349,0.050115425139665604
50.0489,0.114018755733453,0.0715261973402078,0.11729724032019533,0.07320855739619275,0.1179690957069397,0.07455352693796158,0.11637540630114789,0.07655142594535956,0.11880732625722885,0.07286317348480224,0.13621249566361462,0.08821964079037946,0.11279896646738052,0.06580571085214615
50.059,0.151655608662319,0.093465774231598,0.14822823771713187,0.09796723396500542,0.14406980574131012,0.10087903589010239,0.14538762959083773,0.10079910094309208,0.14684206396341323,0.09680436402559281,0.1761200487649526,0.10819144696093339,0.14249242842197418,0.07672686129808426
50.069,0.191641192215131,0.11434221546693,0.20570461524436146,0.11672361519279695,0.19660866260528564,0.1233002096414566,0.20333569746191849,0.12138176860047692,0.20391553342342378,0.11682690531015397,0.21528909933619927,0.12808923896275176,0.17771881818771362,0.0910138189792633
50.079,0.261653480515126,0.12918876330561,0.2357836731728679,0.13801112925924108,0.22679033875465393,0.14274945855140686,0.23092812814451577,0.14149150700136126,0.22489776015281676,0.13647265881299972,0.28208667366759577,0.13897616142793082,0.21561580896377563,0.11213641613721848
50.089,0.339973948920998,0.138304837522766,0.39661869132011685,0.1505375098141141,0.5151073336601257,0.155088871717453,0.43664260575655645,0.15344658048890056,0.45219572484493253,0.14851045459508896,0.36631197775024443,0.1444657627768527,0.26621130108833313,0.1353999376296997
50.099,0.411675242472527,0.144034284802074,0.6153130251095978,0.12240041271266366,0.6307888627052307,0.12675368785858154,0.5945292853211817,0.12568053324480957,0.572984579205513,0.12086672708392143,0.4621543844050871,0.1491389041332229,0.35201892256736755,0.14800012111663818
50.1089,0.49786911370544,0.148470660718573,0.7198270607257515,0.12171545285290428,0.749293327331543,0.12848079204559326,0.7201253904403236,0.12645723900691974,0.6865324020385742,0.12210571989417077,0.5544766990817586,0.1519225790158208,0.4749409854412079,0.15279372036457062
50.1189,0.593450316176078,0.157095170630892,0.7831869471327352,0.14570754917048967,0.8186273574829102,0.1539020985364914,0.7871809568218773,0.14987800807341878,0.758260303735733,0.14638603031635283,0.6491930443241936,0.15825429317607675,0.6028872132301331,0.15566441416740417
50.129,0.674385646557107,0.173239456156095,0.8452100134629302,0.17112076781574007,0.8624535799026489,0.17971915006637573,0.826444330496319,0.17402917584157093,0.815441757440567,0.17143418788909912,0.7297470926773446,0.17728838684799741,0.7219641804695129,0.1582203507423401
50.139,0.706459514750445,0.197849095834365,0.8779007637214418,0.1964629006231533,0.8826529383659363,0.20721890032291412,0.8295321066141884,0.19833177610202163,0.8401710033416748,0.19760884195566178,0.7565166749737182,0.2012077796757337,0.8392587900161743,0.16458405554294586
50.149,0.708453121824993,0.219238954660571,0.861538560420781,0.20876955830055033,0.853924572467804,0.22350427508354187,0.8049256228137878,0.2113991190914189,0.8138809561729431,0.21291282773017883,0.7562367821025783,0.2237159426135174,0.9012386798858643,0.18859092891216278
50.159,0.689014598873646,0.2427017976848,0.8025304382043137,0.23618952024277903,0.7960820198059082,0.25592198967933655,0.7782737946943143,0.24028050321112132,0.770465749502182,0.24423560351133347,0.7315061180420247,0.24612200861752048,0.9204908609390259,0.21363666653633118
50.169,0.658504315811532,0.262441770713252,0.7539842188871714,0.25971894308684096,0.7497988939285278,0.280911922454834,0.7619823269277088,0.26470848347981857,0.7409641027450562,0.26899421513080596,0.7128697413984596,0.2668308464115718,0.9065699577331543,0.23979400098323822
50.1789,0.634094765758451,0.279269090216909,0.7003902432058178,0.2976051971628973,0.7011608481407166,0.3140579164028168,0.7267113482422463,0.30024506838105214,0.6998339474201203,0.3038847863674164,0.6978055566945143,0.28678155292198143,0.8695591688156128,0.26892122626304626
50.1889,0.615102243245486,0.288826815517745,0.6654997469951489,0.29899664196561365,0.672521710395813,0.3091745972633362,0.707015110957767,0.29897338278458696,0.6761178255081177,0.30188003480434417,0.6750955075801022,0.2994932534288075,0.8292611837387085,0.28629612922668457
50.1989,0.589585547801616,0.294722781044639,0.6344500350068649,0.29833300832108106,0.6488947868347168,0.3046046197414398,0.6748487908285214,0.2988442866102791,0.6480252921581269,0.30105124711990355,0.6199906011448305,0.3056607588498806,0.7826754450798035,0.2995765805244446
50.209,0.586398747070848,0.311344838702475,0.5644793770237083,0.2980774655477214,0.5766704082489014,0.3015299439430237,0.5870816499518913,0.29882489826421904,0.5718572735786438,0.30087490677833556,0.5798422011724189,0.3218606083576595,0.7432696223258972,0.3092009127140045
50.219,0.587555222223368,0.351728926282708,0.42677611056415066,0.2987341284354077,0.4293409287929535,0.3005908131599426,0.35497190577364285,0.3000633995627886,0.3910314530134201,0.30037651062011717,0.5485740546229456,0.3432554428334949,0.7109030485153198,0.3142606317996979
50.229,0.594870379601939,-0.417788192776603,0.5379841363371504,-0.5012658715645923,0.5492730140686035,-0.49940916895866394,0.47024765724904327,-0.49993660043721144,0.5120317131280899,-0.4996234893798828,0.5480057293140678,-0.45674455716650514,0.7050275206565857,0.3282993733882904
50.2389,0.61847675218267,-0.312750841098761,0.6137639690372725,-0.531139579199006,0.6147592067718506,-0.5633188486099243,0.5430760877875753,-0.5161869091970629,0.5786963939666748,-0.5016875684261322,0.592730229557294,-0.36182883708787084,0.7046415209770203,0.32373932003974915
50.2489,0.673276821169513,-0.324893647603563,0.639823067777209,-0.5182646690284296,0.6344205737113953,-0.5460543632507324,0.574811531797412,-0.5132733518045531,0.6026887655258178,-0.49868727326393125,0.6573269346536417,-0.33313442788169434,0.7118633389472961,-0.45596495270729065
50.2589,0.685439534871831,-0.401895248033692,0.6582725222558764,-0.5322624321885442,0.6538044810295105,-0.5518411993980408,0.6056428138422886,-0.5271831567849817,0.6261204302310943,-0.514042067527771,0.6680151476515451,-0.3609050327454538,0.7382920384407043,-0.3516957759857178
50.2689,0.680859196733452,-0.533078915762271,0.6905591329987366,-0.45296232951871396,0.6849482655525208,-0.4528428316116333,0.6380569544897176,-0.4365509650887831,0.65557581782341,-0.4184303432703018,0.6681871552921127,-0.4725799505852744,0.7828455567359924,-0.33734455704689026
50.2789,0.673999439776576,-0.703344284487855,0.5805425967029758,-0.4830660727653292,0.577496349811554,-0.5200831890106201,0.5354928405150037,-0.5350387447977317,0.5534682929515838,-0.523821559548378,0.6751309288904607,-0.6176514004906286,0.7832735180854797,-0.37829524278640747
50.289,0.663876482445026,-1.03769337288246,0.5742219708697583,-0.7782769235708966,0.5821011066436768,-0.8214967846870422,0.5417909546714279,-0.8979109430297949,0.5649477899074554,-0.8916631460189819,0.6715112955135768,-0.9239685465595169,0.7716934084892273,-0.4876982271671295
50.299,0.648130912305355,-1.34592906382024,0.6120516942691039,-1.2369648867526704,0.625499963760376,-1.2377421855926514,0.582903950793831,-1.2589531836863264,0.6065852403640747,-1.325528085231781,0.6590526913419634,-1.4849105580457707,0.7675766944885254,-0.6629559993743896
50.3089,0.669952368451276,-1.58017818496837,0.6060600053965952,-2.0369648867526706,0.6241828799247742,-2.0377421379089355,0.5830925498067561,-2.0182052361123115,0.6077182412147522,-2.006226921081543,0.6814858135887824,-1.6968236533495624,0.7612748742103577,-1.1264382600784302
50.3189,0.706679835289311,-1.74868641469515,0.566844361015903,-2.8369648867526704,0.6110552549362183,-2.836721181869507,0.5664658418692669,-2.752672199756492,0.5949285149574279,-2.7537303447723387,0.7141207784905544,-1.9518350932516946,0.753274142742157,-1.6420421600341797
50.3289,0.742406951261625,-1.86210336230699,0.6176205634284329,-2.2709679638446283,0.6779900789260864,-2.3352696895599365,0.6266751686450731,-2.2798340634708594,0.6550190687179566,-2.2580330610275268,0.7523956601411941,-2.0705879375853242,0.7740196585655212,-1.9720724821090698
50.3389,0.756958483249194,-2.02334929984753,0.735399138306132,-2.59234790214944,0.781438410282135,-2.515515089035034,0.7404782055990545,-2.4205620287077307,0.7672018110752106,-2.4576735734939574,0.7652504779042982,-2.2193699451085918,0.8221110105514526,-2.109156370162964
50.3489,0.76919391187716,-2.10761028710974,0.7845380452116308,-2.616380982004773,0.7980114221572876,-2.5078320503234863,0.7712008435376227,-2.411338458446734,0.794685959815979,-2.469018840789795,0.7778915928761928,-2.2519905367140485,0.8638165593147278,-2.252045154571533
50.359,0.765498124282535,-2.25288349578077,0.7202261029709566,-2.540512871139714,0.7169986367225647,-2.465468645095825,0.7057105365614419,-2.380101834439809,0.7240123450756073,-2.4255942821502687,0.7701604036028323,-2.3503846700252593,0.8852550983428955,-2.4250519275665283
50.3689,0.730179988563748,-2.30259931497015,0.6808267616726119,-2.653770455082074,0.6709110140800476,-2.621537923812866,0.662961201426848,-2.550395689424932,0.6776967823505402,-2.5805231809616087,0.7404914967662883,-2.352169161619557,0.8881974220275879,-2.5102720260620117
50.3789,0.692605967568992,-2.34883956416447,0.6611116264277499,-2.551879986308702,0.6556029915809631,-2.561607599258423,0.647931975284903,-2.4926880103372477,0.6622134149074554,-2.5051313161849977,0.7008582344198686,-2.38523331371991,0.8561003804206848,-2.624051094055176
50.3889,0.67337174238166,-2.38434122271367,0.661166373288602,-2.3155920464450133,0.6484630703926086,-2.403247356414795,0.6493085923610586,-2.321231048538837,0.6595032334327697,-2.3177197217941283,0.6722007642160771,-2.402470673858162,0.8152146935462952,-2.6650102138519287
50.3989,0.666159296680727,-2.37297388267323,0.6078411432776148,-2.439243907935423,0.6033279895782471,-2.5278849601745605,0.6066448410461892,-2.4639952180305986,0.614695018529892,-2.4752617835998536,0.6534737640623308,-2.377859903425754,0.7607932090759277,-2.7137932777404785
50.4089,0.678454120130461,-2.3594140864592,0.5519208455734795,-2.320933199945227,0.5651360154151917,-2.477268934249878,0.5681891549391818,-2.4209779523628647,0.5767829358577728,-2.4340008735656737,0.6420044964610659,-2.352474499602905,0.7355131506919861,-2.7438137531280518
50.4189,0.672374926958505,-2.31322212573065,0.5874520541942415,-2.1530603830629147,0.6118572950363159,-2.4025113582611084,0.6184635468081139,-2.35400637617916,0.6257885456085205,-2.375302624702454,0.6242187572327577,-2.263203975588148,0.7237870097160339,-2.7222402095794678
50.4289,0.663906851690683,-2.19030883362685,0.6492510938933331,-1.9887935784437127,0.6735906004905701,-2.3485469818115234,0.6833124112171779,-2.3393784016667056,0.6915265142917633,-2.3027548789978027,0.6057133787712848,-2.12858644999537,0.7329608201980591,-2.679464101791382
50.4389,0.660499649744702,-2.07415662624191,0.5728353618294082,-1.7297723476244573,0.6061213612556458,-2.0693562030792236,0.6114661442187256,-2.0796283894283123,0.6222031950950623,-2.054319155216217,0.602392880047714,-2.0667540620865563,0.71855628490448,-2.5992350578308105
50.4489,0.65958969071511,-1.97587607899019,0.4910541304159981,-2.344864796623716,0.5474169254302979,-1.97237229347229,0.5448524621153054,-2.123214917791399,0.5596708595752716,-2.214658188819885,0.5899199544183756,-2.059406461620095,0.705058753490448,-2.4764552116394043
50.4589,0.653800351414472,-1.83129809138795,0.5217556780027686,-3.064274222188603,0.578039824962616,-2.772372245788574,0.5760559984302243,-2.7268189131212015,0.590545517206192,-2.8545668840408327,0.5808617742499497,-2.0527736787693893,0.7087587118148804,-2.427692174911499
50.4689,0.66882842766749,-1.75190583847817,0.5282443374386587,-2.884348191976334,0.6024215817451477,-2.7294762134552,0.5916221599246905,-2.7592218765488727,0.6105081140995026,-2.837624359130859,0.5967628261463009,-2.1478856368265364,0.7050498723983765,-2.432007312774658
50.4789,0.689826410858136,-1.75598285896858,0.5694952685797466,-2.5596224218359076,0.6666350364685059,-2.5316102504730225,0.6387202465145647,-2.6508106951962374,0.6639546096324921,-2.7272817373275755,0.6153110559925631,-2.255774400231207,0.7109980583190918,-2.4102773666381836
50.4889,0.686235655855186,-1.74045913029597,0.5955881610174971,-2.357270444895749,0.6952950954437256,-2.392302989959717,0.6668293450496199,-2.5160877086340663,0.6935758948326111,-2.590265393257141,0.6168788982130969,-2.2886293619388893,0.7309888601303101,-2.4413440227508545
50.4989,0.675833371544361,-1.65796267309151,0.5896738403533682,-2.2192604217418226,0.681967556476593,-2.318282127380371,0.6603284682112613,-2.39470288637293,0.6873515129089356,-2.4500699758529665,0.6091984936312358,-2.2397561355688267,0.760436475276947,-2.524129867553711
50.5089,0.658558030159859,-1.56731870939937,0.48453599810200865,-2.270476901525389,0.6036080121994019,-2.4018630981445312,0.5652031350079828,-2.4135868966670886,0.5985696732997894,-2.4702707290649415,0.5822173110882912,-2.132106040939723,0.7491195201873779,-2.484168529510498
50.5189,0.624665656655802,-1.45953696560453,0.4374304658781271,-1.7171553520474838,0.5737779140472412,-1.881008505821228,0.5308174717402776,-1.9437606694313687,0.5669990360736847,-1.9442296385765077,0.5461530910816929,-2.020973082011255,0.7315075993537903,-2.389374256134033
50.5289,0.600292406834549,-1.37457622849945,0.4537817212492007,-1.6039689311746221,0.5774590969085693,-1.7544529438018799,0.5393100660031079,-1.8310669115203784,0.5741397857666015,-1.8337360858917235,0.5139615994845399,-1.9210798987483964,0.6870293021202087,-2.251033306121826
50.5389,0.584374668506571,-1.24446283403173,0.4445075620715626,-1.650311220373596,0.5771105289459229,-1.7638660669326782,0.5328866319313847,-1.8352429716170828,0.5706905126571655,-1.8343875288963318,0.49036169648338074,-1.786547965787297,0.655765175819397,-2.1437084674835205
