t_s,L_tau_ref_mean,R_tau_ref_mean,L_tau_pfimu_mean,R_tau_pfimu_mean
50.009,0.02535433247025879,0.017793047907514962,0.022902716137468814,0.016887409798800945
50.019,0.05172204358235675,0.03918411424672748,0.04207566492259503,0.03171785417944193
50.029,0.07866148642680074,0.058013233121270144,0.06320850811898708,0.042741240561008455
50.0389,0.10546305339395472,0.07245356697639098,0.0898330919444561,0.05546908751130104
50.0489,0.14008712555841452,0.0871499953322391,0.11990756690502166,0.07057436257600784
50.059,0.17863816904472585,0.10715178023594892,0.1528942957520485,0.07991888970136643
50.069,0.22435743013836018,0.12769785017175944,0.19775305539369584,0.09218026399612426
50.079,0.2959075905750218,0.139900127720464,0.2529410749673843,0.1125501535832882
50.089,0.37847162188460615,0.1465764582719132,0.3230848968029022,0.13309939801692963
50.099,0.4556135075321137,0.15288962479995125,0.42217904329299927,0.14426415413618088
50.1089,0.5477334798104598,0.15881628148335825,0.5348615497350693,0.15041450262069703
50.1189,0.6528216091083816,0.16725181310324344,0.6489719033241272,0.15554271191358565
50.129,0.7353247625079687,0.18658680007902687,0.7707295715808868,0.16101453602313995
50.139,0.7679720745138315,0.21168174752922986,0.8814317584037781,0.16896239966154097
50.149,0.7678003921094347,0.23483904158470073,0.9437474429607391,0.1892149642109871
50.159,0.7454044669722588,0.2590281286151751,0.9501106679439545,0.21666440963745118
50.169,0.7149547619641864,0.27768433662830566,0.9211561024188996,0.24287648797035216
50.1789,0.6856793316776855,0.29364537421729275,0.8696238934993744,0.2702609747648239
50.1889,0.6596280827562782,0.30298543044330606,0.812878692150116,0.29062714874744416
50.1989,0.6293545684065933,0.3077880335799475,0.7692172467708588,0.30690022110939025
50.209,0.6211422854435101,0.32326549065372917,0.7350436329841614,0.3165091037750244
50.219,0.6242034881180984,0.3640930122203296,0.7057468712329864,0.31963343620300294
50.229,0.6266298190357332,-0.6368411223658861,0.7040177702903747,0.3336279571056366
50.2389,0.6473959662256008,-0.48134533249543665,0.7143728494644165,0.3744661122560501
50.2489,0.7005503070052553,-0.43389250343835756,0.7254140138626098,-0.5897494912147522
50.2589,0.7075726927587184,-0.4561193827972477,0.7535910725593566,-0.4358197212219238
50.2689,0.7011810338880722,-0.549612687974483,0.7998707056045532,-0.41450702846050264
50.2789,0.7012553197638263,-0.6884886964420667,0.7991602540016174,-0.4879675328731537
50.289,0.6979551903777098,-0.9578404363958747,0.7904206693172455,-0.6313002407550812
50.299,0.6829790779540248,-1.327596254893765,0.788504546880722,-0.8307107388973236
50.3089,0.7002606869988992,-1.5901755619880409,0.7848490834236145,-1.153434407711029
50.3189,0.7385155637599718,-1.7934545403884865,0.7769962966442108,-1.600990605354309
50.3289,0.7729188581476754,-1.9484927774671648,0.8019696533679962,-1.9296512246131896
50.3389,0.793095565813,-2.102067858344524,0.8476413547992706,-2.192285990715027
