t_s,L_tau_ref,R_tau_ref,L_tau_pfimu,R_tau_pfimu
50.009,0.025729561551979946,0.015601650524470037,0.02239394374191761,0.01837640441954136
50.019,0.05228872868619447,0.03382575199306851,0.04204704612493515,0.03551618382334709
50.029,0.07806853565263112,0.051132498558490364,0.06452207267284393,0.04783272370696068
50.0389,0.10347455761639637,0.0640117109379941,0.09001944214105606,0.060550130903720856
50.0489,0.13614646975501654,0.07855688612528404,0.11751959472894669,0.0749010369181633
50.059,0.17512729139079436,0.09746071945671334,0.1521945595741272,0.08147555589675903
50.069,0.22128164423375463,0.11653512746845016,0.19674447178840637,0.09103169292211533
50.079,0.3037832437119763,0.12808693791347628,0.25401389598846436,0.1085493266582489
50.089,0.38377082624713643,0.1340848382171367,0.32322612404823303,0.12899227440357208
50.099,0.4635445960705732,0.1396216441232501,0.4323054850101471,0.13943088054656982
50.1089,0.5568080025142674,0.14443239675427938,0.5661178827285767,0.14669738709926605
50.1189,0.6627184637959943,0.1527731834417258,0.6903424859046936,0.15285807847976685
50.129,0.7459653656266321,0.17070015786092876,0.8104195594787598,0.15939344465732574
50.139,0.7806717395810326,0.19493902361872012,0.9140453934669495,0.1690252274274826
50.149,0.7747662875378502,0.21701807730914646,0.9674888849258423,0.18934206664562225
50.159,0.7480935090397729,0.24042223254861178,0.9735114574432373,0.2167261391878128
50.169,0.7110409305856022,0.2577856192383668,0.9338162541389465,0.24376332759857178
50.1789,0.6822377029261593,0.27431850574710703,0.875774621963501,0.274027556180954
50.1889,0.6585522604988562,0.28466071029939904,0.8216515183448792,0.29609984159469604
50.1989,0.6273535294101933,0.29371347280530324,0.7778003215789795,0.3121959865093231
50.209,0.6137020899442749,0.3115269812150327,0.7394845485687256,0.3195294439792633
50.219,0.6136362814762886,0.35521095340278985,0.7097115516662598,0.32243242859840393
50.229,0.6216064086522148,-0.5896369056826217,0.7060612440109253,0.3344656229019165
50.2389,0.64457433723143,-0.43724832149168213,0.7197674512863159,0.37312281131744385
50.2489,0.6917070565997882,-0.41082491503391283,0.7264627814292908,-0.6037808656692505
50.2589,0.6957002165210158,-0.46209511420503,0.7677456736564636,-0.44832202792167664
50.2689,0.6906491699671718,-0.5601216571774839,0.8060696721076965,-0.4219987094402313
50.2789,0.6885838210872978,-0.7056109128354975,0.8022299408912659,-0.49795517325401306
50.289,0.6896171407935067,-1.0769166727935704,0.7918776869773865,-0.6465690732002258
50.299,0.6776504130915197,-1.4775604446900084,0.7967279553413391,-0.8541416525840759
50.3089,0.691997287533152,-1.8170864766856734,0.7943987250328064,-1.1551094055175781
50.3189,0.7356181763924663,-2.0799963262254484,0.7905738949775696,-1.640907883644104
50.3289,0.7697623589439503,-2.259485473653702,0.8200095891952515,-2.108816146850586
50.3389,0.7921104018955092,-2.418781038323983,0.8656978011131287,-2.37385630607605
50.3489,0.8037527874205296,-2.5076053038819865,0.8960388898849487,-2.5322628021240234
50.359,0.80239226674277,-2.6246682492093036,0.9097065925598145,-2.718519449234009
50.3689,0.7702965651227278,-2.652600354685047,0.9017530679702759,-2.7820799350738525
50.3789,0.727475592143383,-2.682369260186216,0.8734861016273499,-2.8814194202423096
50.3889,0.6962586050801897,-2.716612066944266,0.8249361515045166,-2.9214890003204346
50.3989,0.6890124351891515,-2.699214645547473,0.7687312364578247,-2.9429407119750977
50.4089,0.6889110416626527,-2.6848131548791114,0.7390158772468567,-2.966416597366333
50.4189,0.6835516131247625,-2.639607300751964,0.7264178991317749,-2.9413206577301025
50.4289,0.6751298739364676,-2.5257473041752996,0.7486265897750854,-2.9175660610198975
50.4389,0.6820352468897093,-2.4634969086135037,0.7519991993904114,-2.8838305473327637
50.4489,0.6788867589742427,-2.416831300860191,0.7483738660812378,-2.8340654373168945
50.4589,0.6642780245774669,-2.4354118641062823,0.76853346824646,-2.8028762340545654
50.4689,0.672778345025813,-2.543539593799378,0.7684749364852905,-2.8042244911193848
50.4789,0.6913050294282207,-2.6450603751381263,0.7593926191329956,-2.7984399795532227
50.4889,0.6874307570127418,-2.6746499183047256,0.7743967771530151,-2.839141607284546
50.4989,0.687520149822449,-2.6036720604154464,0.8017976880073547,-2.9373326301574707
50.5089,0.6667939356763695,-2.4347047878044337,0.7802910804748535,-2.8905446529388428
50.5189,0.6359297707601617,-2.2897773874342153,0.757308840751648,-2.76936674118042
50.5289,0.6126628867407425,-2.152457444125754,0.7423481345176697,-2.6074411869049072
50.5389,0.6001346205927482,-1.999886820967223,0.7153078317642212,-2.4584226608276367
50.5489,0.5863074808450429,-1.895711657317059,0.696101725101471,-2.335562229156494
50.5589,0.5593397554516334,-1.8103460582859343,0.6841663122177124,-2.1769423484802246
50.5689,0.5288203308017329,-1.7257911932293921,0.675798237323761,-2.0722596645355225
50.5789,0.5016582183130917,-1.6687837116855928,0.6620579361915588,-1.9630719423294067
50.5889,0.4931847417070232,-1.607109477096282,0.6326640844345093,-1.869579792022705
50.5989,0.5139679398483684,-1.5500913040686854,0.622724711894989,-1.8036892414093018
50.6089,0.5226312660608754,3.8145316914523884,0.619028627872467,-1.6957387924194336
50.6189,0.5344144476351528,2.7129113496917636,0.6296185255050659,-1.6124955415725708
50.6289,0.5300864854238634,2.4033270833769196,0.6405237317085266,3.0097832679748535
50.6389,0.5279983208515423,1.949729914019644,0.6432410478591919,2.3244566917419434
