t_s,L_tau_ref,R_tau_ref,L_tau_pfimu,R_tau_pfimu
50.009,0.02572838576843673,0.012827509907862186,0.026009388267993927,0.016129810363054276
50.019,0.053027545944866736,0.028963534075507353,0.047555308789014816,0.030225513502955437
50.029,0.071248280691702,0.03268052283829819,0.06695234030485153,0.03148062527179718
50.0389,0.10444328702977936,0.0472522364978068,0.09853710234165192,0.041993431746959686
50.0489,0.12940653457609305,0.06881549495264662,0.12287954986095428,0.06073123961687088
50.059,0.1634260189606264,0.09142021674123801,0.15165337920188904,0.08024866878986359
50.069,0.22721831877135198,0.11161308407863797,0.21100930869579315,0.09925033152103424
50.079,0.23711576959688563,0.13036233109075915,0.25181788206100464,0.11993386596441269
50.089,0.20833282228091454,0.1412643061072079,0.2615192234516144,0.13254180550575256
50.099,0.24974576305134835,0.11058275514708774,0.31597641110420227,0.10379810631275177
50.1089,0.336877573511411,0.1101459397414019,0.4008731245994568,0.0987916812300682
50.1189,0.42846516732883394,0.1349171476756581,0.5008887052536011,0.11910664290189743
50.129,0.5339080496569708,0.16306860717310825,0.6105403900146484,0.14049609005451202
50.139,0.6088111663139861,0.19180406870028713,0.6678545475006104,0.16031156480312347
50.149,0.6041556908988621,0.20964637960150526,0.6751699447631836,0.17537720501422882
50.159,0.592341166778049,0.24098214287558908,0.6422402858734131,0.20630189776420593
50.169,0.5904446725678065,0.26454579785302973,0.6247967481613159,0.23693478107452393
50.1789,0.5661393043874363,0.2961372189399684,0.607997477054596,0.2745760679244995
50.1889,0.5530983526325642,0.2915920382974625,0.5895799398422241,0.27589061856269836
50.1989,0.5571756585913954,0.28789049708007985,0.5861843824386597,0.2769576907157898
50.209,0.5249019843416057,0.287350039725438,0.548667848110199,0.2810399532318115
50.219,0.43664025062684275,0.28830694064822593,0.4702065587043762,0.27955394983291626
50.229,0.5523081043980853,-0.8809120914454804,0.5931764841079712,-0.6187725067138672
50.2389,0.6249554041755353,-0.698474491515669,0.6540567278862,-0.4739739000797272
