t_s,imu_LTx,imu_RTx,imu_Lvel,imu_Rvel,L_tau_ref_mean,R_tau_ref_mean,L_tau_pfimu_mean,R_tau_pfimu_mean
50.009,-47.1579,-3.3664,40.7104,27.9541,0.024347346396634315,0.016231005773893924,0.024614829756319522,0.015975683834403752
50.019,-47.1579,-3.0258,40.7104,36.377,0.04313762258353391,0.03368395169066866,0.042963451519608495,0.03268978800624609
50.029,-46.0263,-2.0755,66.6504,52.3071,0.05849711425035118,0.0384912485367748,0.059008630365133284,0.03652258850634098
50.0389,-46.0263,-1.5427,66.6504,54.1992,0.09155276101037216,0.053312906746749766,0.09281132221221924,0.050264468789100646
50.0489,-45.2573,-1.5427,82.0312,54.1992,0.11637540630114789,0.07655142594535956,0.11880732625722885,0.07286317348480224
50.059,-44.3125,-1.5427,102.0508,54.1992,0.14538762959083773,0.10079910094309208,0.14684206396341323,0.09680436402559281
50.069,-44.3125,-0.6747,102.0508,40.6494,0.20333569746191849,0.12138176860047692,0.20391553342342378,0.11682690531015397
50.079,-41.7417,-0.3781,152.2217,35.1562,0.23092812814451577,0.14149150700136126,0.22489776015281676,0.13647265881299972
50.089,-38.1766,-0.0595,193.7256,33.7524,0.43664260575655645,0.15344658048890056,0.45219572484493253,0.14851045459508896
50.099,-36.2595,0.748,190.918,46.3257,0.5945292853211817,0.12568053324480957,0.572984579205513,0.12086672708392143
50.1089,-36.2595,1.2479,190.918,49.7437,0.7201253904403236,0.12645723900691974,0.6865324020385742,0.12210571989417077
50.1189,-34.5017,1.2479,169.6167,49.7437,0.7871809568218773,0.14987800807341878,0.758260303735733,0.14638603031635283
50.129,-32.9965,1.2479,140.0146,49.7437,0.826444330496319,0.17402917584157093,0.815441757440567,0.17143418788909912
50.139,-31.788,1.2479,104.126,49.7437,0.8295321066141884,0.19833177610202163,0.8401710033416748,0.19760884195566178
50.149,-30.8707,2.0773,77.5146,40.2222,0.8049256228137878,0.2113991190914189,0.8138809561729431,0.21291282773017883
50.159,-30.8707,2.731,77.5146,26.6724,0.7782737946943143,0.24028050321112132,0.770465749502182,0.24423560351133347
50.169,-30.8707,3.143,77.5146,16.1743,0.7619823269277088,0.26470848347981857,0.7409641027450562,0.26899421513080596
50.1789,-30.1181,3.2199,65.918,5.4321,0.7267113482422463,0.30024506838105214,0.6998339474201203,0.3038847863674164
50.1889,-30.1181,3.2199,65.918,5.4321,0.707015110957767,0.29897338278458696,0.6761178255081177,0.30188003480434417
50.1989,-29.4315,3.2199,57.8613,5.4321,0.6748487908285214,0.2988442866102791,0.6480252921581269,0.30105124711990355
50.209,-28.1845,3.2199,74.7681,5.4321,0.5870816499518913,0.29882489826421904,0.5718572735786438,0.30087490677833556
50.219,-23.8889,3.2199,98.3887,5.4321,0.35497190577364285,0.3000633995627886,0.3910314530134201,0.30037651062011717
50.229,-23.0759,3.0881,77.2705,-16.2964,0.47024765724904327,-0.49993660043721144,0.5120317131280899,-0.4996234893798828
50.2389,-22.4222,2.2971,59.6924,-41.1987,0.5430760877875753,-0.5161869091970629,0.5786963939666748,-0.5016875684261322
