t_s,imu_LTx,imu_RTx,imu_Lvel,imu_Rvel,L_tau_ref,R_tau_ref,L_tau_pfimu,R_tau_pfimu
50.009,-47.1579,-3.3664,40.7104,27.9541,0.02434118208493689,0.015489042835046984,0.024737006053328514,0.016025861725211143
50.019,-47.1579,-3.0258,40.7104,36.377,0.043601084063031835,0.030701165488840932,0.0438997708261013,0.030808167532086372
50.029,-46.0263,-2.0755,66.6504,52.3071,0.059288956395668294,0.03670389411608304,0.05958138406276703,0.03377249836921692
50.0389,-46.0263,-1.5427,66.6504,54.1992,0.09324390846370131,0.050813311047398405,0.09274659305810928,0.04999903216958046
50.0489,-45.2573,-1.5427,82.0312,54.1992,0.11729724032019533,0.07320855739619275,0.1179690957069397,0.07455352693796158
50.059,-44.3125,-1.5427,102.0508,54.1992,0.14822823771713187,0.09796723396500542,0.14406980574131012,0.10087903589010239
50.069,-44.3125,-0.6747,102.0508,40.6494,0.20570461524436146,0.11672361519279695,0.19660866260528564,0.1233002096414566
50.079,-41.7417,-0.3781,152.2217,35.1562,0.2357836731728679,0.13801112925924108,0.22679033875465393,0.14274945855140686
50.089,-38.1766,-0.0595,193.7256,33.7524,0.39661869132011685,0.1505375098141141,0.5151073336601257,0.155088871717453
50.099,-36.2595,0.748,190.918,46.3257,0.6153130251095978,0.12240041271266366,0.6307888627052307,0.12675368785858154
50.1089,-36.2595,1.2479,190.918,49.7437,0.7198270607257515,0.12171545285290428,0.749293327331543,0.12848079204559326
50.1189,-34.5017,1.2479,169.6167,49.7437,0.7831869471327352,0.14570754917048967,0.8186273574829102,0.1539020985364914
50.129,-32.9965,1.2479,140.0146,49.7437,0.8452100134629302,0.17112076781574007,0.8624535799026489,0.17971915006637573
50.139,-31.788,1.2479,104.126,49.7437,0.8779007637214418,0.1964629006231533,0.8826529383659363,0.20721890032291412
50.149,-30.8707,2.0773,77.5146,40.2222,0.861538560420781,0.20876955830055033,0.853924572467804,0.22350427508354187
50.159,-30.8707,2.731,77.5146,26.6724,0.8025304382043137,0.23618952024277903,0.7960820198059082,0.25592198967933655
50.169,-30.8707,3.143,77.5146,16.1743,0.7539842188871714,0.25971894308684096,0.7497988939285278,0.280911922454834
50.1789,-30.1181,3.2199,65.918,5.4321,0.7003902432058178,0.2976051971628973,0.7011608481407166,0.3140579164028168
50.1889,-30.1181,3.2199,65.918,5.4321,0.6654997469951489,0.29899664196561365,0.672521710395813,0.3091745972633362
50.1989,-29.4315,3.2199,57.8613,5.4321,0.6344500350068649,0.29833300832108106,0.6488947868347168,0.3046046197414398
50.209,-28.1845,3.2199,74.7681,5.4321,0.5644793770237083,0.2980774655477214,0.5766704082489014,0.3015299439430237
50.219,-23.8889,3.2199,98.3887,5.4321,0.42677611056415066,0.2987341284354077,0.4293409287929535,0.3005908131599426
50.229,-23.0759,3.0881,77.2705,-16.2964,0.5379841363371504,-0.5012658715645923,0.5492730140686035,-0.49940916895866394
50.2389,-22.4222,2.2971,59.6924,-41.1987,0.6137639690372725,-0.531139579199006,0.6147592067718506,-0.5633188486099243
50.2489,-22.4222,1.8631,59.6924,-42.0532,0.639823067777209,-0.5182646690284296,0.6344205737113953,-0.5460543632507324
50.2589,-22.4222,1.8631,59.6924,-42.0532,0.6582725222558764,-0.5322624321885442,0.6538044810295105,-0.5518411993980408
50.2689,-21.8509,0.5667,46.0815,-85.6934,0.6905591329987366,-0.45296232951871396,0.6849482655525208,-0.4528428316116333
50.2789,-20.571,-0.5594,61.9507,-123.7793,0.5805425967029758,-0.4830660727653292,0.577496349811554,-0.5200831890106201
50.289,-19.2856,-0.5594,57.1289,-123.7793,0.5742219708697583,-0.7782769235708966,0.5821011066436768,-0.8214967846870422
50.299,-19.2856,-2.1249,57.1289,-169.3115,0.6120516942691039,-1.2369648867526704,0.625499963760376,-1.2377421855926514
