Time_s,ref_tau_L,new_tau_L,ref_tau_R,new_tau_R,err_L,err_R
50.009,5.244959145784378,5.244959145784378,3.026413321495056,3.026413321495056,0.0,0.0
50.019,7.277980595827103,7.277980595827103,4.836685806512833,4.836685806512833,0.0,0.0
50.029,10.294717848300934,10.294717848300934,6.1070416867733,6.1070416867733,0.0,0.0
50.0389,10.411396622657776,10.411396622657776,6.053321063518524,6.053321063518524,0.0,0.0
50.0489,10.88890939950943,10.88890939950943,5.711570978164673,5.711570978164673,0.0,0.0
50.059,11.092098355293274,11.092098355293274,4.939146190881729,4.939146190881729,0.0,0.0
50.069,11.203875839710236,11.203875839710236,3.5365842282772064,3.5365842282772064,0.0,0.0
50.079,12.128000557422638,12.128000557422638,1.932191401720047,1.932191401720047,0.0,0.0
50.089,12.345955073833466,12.345955073833466,0.08624089881777763,0.08624089881777763,0.0,0.0
50.099,12.240706980228424,12.240706980228424,-0.5992593057453632,-0.5992593057453632,0.0,0.0
50.1089,12.285957634449005,12.285957634449005,-1.1073610559105873,-1.1073610559105873,0.0,0.0
50.1189,12.04204648733139,12.04204648733139,-1.0006504878401756,-1.0006504878401756,0.0,0.0
50.129,11.8120738863945,11.8120738863945,-0.5759257636964321,-0.5759257636964321,0.0,0.0
50.139,11.38134241104126,11.38134241104126,0.2662958297878504,0.2662958297878504,0.0,0.0
50.149,11.035217642784119,11.035217642784119,0.9228702820837498,0.9228702820837498,0.0,0.0
50.159,11.088016927242279,11.088016927242279,1.206117533147335,1.206117533147335,0.0,0.0
50.169,11.0502290725708,11.0502290725708,0.9871447831392288,0.9871447831392288,0.0,0.0
50.1789,11.004099547863007,11.004099547863007,0.24203762412071228,0.24203762412071228,0.0,0.0
50.1889,11.197708547115326,11.197708547115326,-0.12165618594735861,-0.12165618594735861,0.0,0.0
50.1989,10.984821617603302,10.984821617603302,-0.4227121453732252,-0.4227121453732252,0.0,0.0
50.209,11.34806513786316,11.34806513786316,-0.7029854692518711,-0.7029854692518711,0.0,0.0
50.219,11.538240015506744,11.538240015506744,-1.2349289283156395,-1.2349289283156395,0.0,0.0
50.229,11.245088875293732,11.245088875293732,-2.8482288122177124,-2.8482288122177124,0.0,0.0
50.2389,11.415249109268188,11.415249109268188,-4.2716167867183685,-4.2716167867183685,0.0,0.0
50.2489,11.562775075435638,11.562775075435638,-4.755649119615555,-4.755649119615555,0.0,0.0
50.2589,11.516072452068329,11.516072452068329,-5.331149250268936,-5.331149250268936,0.0,0.0
50.2689,11.385679543018341,11.385679543018341,-7.260580211877823,-7.260580211877823,0.0,0.0
50.2789,11.84132069349289,11.84132069349289,-8.494343161582947,-8.494343161582947,0.0,0.0
50.289,11.578475832939148,11.578475832939148,-8.692892789840698,-8.692892789840698,0.0,0.0
50.299,11.640054881572723,11.640054881572723,-10.044482946395874,-10.044482946395874,0.0,0.0
50.3089,11.50288313627243,11.50288313627243,-10.581774115562439,-10.581774115562439,0.0,0.0
50.3189,11.504563093185425,11.504563093185425,-10.131246149539948,-10.131246149539948,0.0,0.0
50.3289,11.321419179439545,11.321419179439545,-9.412781596183777,-9.412781596183777,0.0,0.0
50.3389,11.063823401927948,11.063823401927948,-9.419344961643219,-9.419344961643219,0.0,0.0
50.3489,10.952972173690796,10.952972173690796,-8.77670019865036,-8.77670019865036,0.0,0.0
50.359,11.01928174495697,11.01928174495697,-8.773112297058105,-8.773112297058105,0.0,0.0
50.3689,10.994982719421387,10.994982719421387,-8.736810386180878,-8.736810386180878,0.0,0.0
50.3789,10.967735946178436,10.967735946178436,-8.637518584728241,-8.637518584728241,0.0,0.0
50.3889,10.940616130828857,10.940616130828857,-7.999691069126129,-7.999691069126129,0.0,0.0
50.3989,11.070610284805298,11.070610284805298,-8.134179711341858,-8.134179711341858,0.0,0.0
50.4089,11.140130460262299,11.140130460262299,-7.9275476932525635,-7.9275476932525635,0.0,0.0
