t_s,L_angle_deg,R_angle_deg,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,gait_freq_Hz
368.660,-5.550,8.480,0.0000,0.0000,0.0000,0.0000,3.700,6.100,0.0000,0.0000,0.940
368.710,-5.470,8.810,0.0000,0.0000,0.0000,0.0000,4.000,2.700,0.0000,0.0000,0.940
368.760,-5.160,9.010,0.0000,0.0000,0.0000,0.0000,3.700,4.800,0.0000,0.0000,0.940
368.810,-5.030,8.980,0.0000,0.0000,0.0000,0.0000,1.300,-5.300,0.0000,-0.0000,0.940
368.860,-4.830,8.840,0.0000,0.0000,0.0000,0.0000,3.700,-1.600,0.0000,-0.0000,0.940
368.910,-4.670,8.470,0.0000,0.0000,0.0000,0.0000,2.300,-6.800,0.0000,-0.0000,0.940
368.960,-4.640,8.270,0.0000,0.0000,0.0000,0.0000,0.500,-6.000,0.0000,-0.0000,0.940
369.010,-4.630,8.070,0.0000,0.0000,0.0000,0.0000,-0.900,-3.200,-0.0000,-0.0000,0.940
369.060,-4.680,7.880,0.0000,0.0000,0.0000,0.0000,-2.700,-4.000,-0.0000,-0.0000,0.940
369.110,-4.810,7.640,0.0000,0.0000,0.0000,0.0000,-1.600,-2.100,-0.0000,-0.0000,0.940
369.160,-4.930,7.660,0.0000,0.0000,0.0000,0.0000,-2.100,0.600,-0.0000,0.0000,0.940
369.210,-5.010,7.690,0.0000,0.0000,0.0000,0.0000,-0.500,0.900,-0.0000,0.0000,0.940
369.260,-5.050,7.620,0.0000,0.0000,0.0000,0.0000,-2.000,-1.600,-0.0000,-0.0000,0.940
369.310,-5.130,7.640,0.0000,0.0000,0.0000,0.0000,-1.600,1.600,-0.0000,0.0000,0.940
369.360,-5.080,7.670,0.0000,0.0000,0.0000,0.0000,1.500,1.700,0.0000,0.0000,0.940
369.410,-5.030,7.660,0.0000,0.0000,0.0000,0.0000,-0.900,-1.800,-0.0000,-0.0000,0.940
369.460,-5.060,7.640,0.0000,0.0000,0.0000,0.0000,0.100,-1.000,0.0000,-0.0000,0.940
369.510,-5.070,7.600,0.0000,0.0000,0.0000,0.0000,-0.400,-0.300,-0.0000,-0.0000,0.940
369.560,-5.100,7.520,0.0000,0.0000,0.0000,0.0000,-0.300,-2.900,-0.0000,-0.0000,0.940
369.610,-5.100,7.500,0.0000,0.0000,0.0000,0.0000,-0.500,0.900,-0.0000,0.0000,0.940
369.660,-5.140,7.380,0.0000,0.0000,0.0000,0.0000,-1.800,-1.700,-0.0000,-0.0000,0.940
369.710,-5.220,7.340,0.0000,0.0000,0.0000,0.0000,-2.000,-1.500,-0.0000,-0.0000,0.940
369.760,-5.250,7.300,0.0000,0.0000,0.0000,0.0000,-1.500,0.300,-0.0000,0.0000,0.940
369.810,-5.360,7.340,0.0000,0.0000,0.0000,0.0000,-2.900,-0.100,-0.0000,-0.0000,0.940
369.860,-5.440,7.330,0.0000,0.0000,0.0000,0.0000,-1.200,0.100,-0.0000,0.0000,0.940
369.910,-5.510,7.300,0.0000,0.0000,0.0000,0.0000,-2.500,-1.100,-0.0000,-0.0000,0.940
369.960,-5.530,7.280,0.0000,0.0000,0.0000,0.0000,-0.100,-2.100,-0.0000,-0.0000,0.940
370.010,-5.580,7.230,0.0000,0.0000,0.0000,0.0000,-1.600,-0.700,-0.0000,-0.0000,0.940
370.060,-5.700,7.230,0.0000,0.0000,0.0000,0.0000,-0.900,-1.300,-0.0000,-0.0000,0.940
370.110,-5.710,7.220,0.0000,0.0000,0.0000,0.0000,-0.600,-0.800,-0.0000,-0.0000,0.940
370.160,-5.820,7.180,0.0000,0.0000,0.0000,0.0000,-0.700,-0.200,-0.0000,-0.0000,0.940
