t_s,L_angle_deg,R_angle_deg,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,gait_freq_Hz,t_unwrapped_s,wall_time_s,wall_elapsed_s,csv_sample_idx,csv_session_id,algo_name,gui_tag,rx_tag_char,rx_tag_text,align_event,rl_cfg_tx_seq,rpi_online,rpi_status_version,rpi_nn_type,rpi_delay_ms_L,rpi_delay_ms_R,rpi_power_ratio_L,rpi_power_ratio_R,rpi_pos_per_s_L,rpi_pos_per_s_R,rpi_neg_per_s_L,rpi_neg_per_s_R
619.400,-1.050,-3.600,0.0000,0.0000,0.0000,0.0000,-0.200,-0.400,-0.0000,-0.0000,0.710,619.400,1776802570.935004,1.348,0,20260421_161609,EG,R,R,R,serial_connected:/dev/cu.usbmodem1101,0,1,3,3,0.000,0.000,0.552600,0.764400,0.0100,0.0000,0.0000,0.0000
619.450,-1.060,-3.610,0.0000,0.0000,0.0000,0.0000,-0.200,0.000,-0.0000,0.0000,0.710,619.450,1776802570.935882,1.349,1,20260421_161609,EG,R,R,R,,0,1,3,3,0.000,0.000,0.552600,0.764400,0.0100,0.0000,0.0000,0.0000
619.500,-1.080,-3.610,0.0000,0.0000,0.0000,0.0000,-0.200,0.000,-0.0000,0.0000,0.710,619.500,1776802570.937357,1.350,2,20260421_161609,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
619.550,-1.090,-3.610,0.0000,0.0000,0.0000,0.0000,-0.080,0.000,-0.0000,0.0000,0.710,619.550,1776802571.060803,1.474,3,20260421_161609,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
619.600,-1.110,-3.610,0.0000,0.0000,0.0000,0.0000,-53.025,0.000,-0.0000,0.0000,0.710,619.600,1776802571.061018,1.474,4,20260421_161609,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
619.650,-1.130,-3.610,0.0000,0.0000,0.0000,0.0000,-97.090,0.000,-0.0000,0.0000,0.710,619.650,1776802571.061212,1.474,5,20260421_161609,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
619.700,-1.150,-3.610,0.0000,0.0000,0.0000,0.0000,-0.462,0.000,-0.0000,0.0000,0.710,619.700,1776802571.104843,1.518,6,20260421_161609,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
619.750,-1.170,-3.610,0.0000,0.0000,0.0000,0.0000,-0.400,0.000,-0.0000,0.0000,0.710,619.750,1776802571.241277,1.654,7,20260421_161609,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
619.800,-1.200,-3.610,0.0000,0.0000,0.0000,0.0000,-0.400,0.000,-0.0000,0.0000,0.710,619.800,1776802571.241883,1.655,8,20260421_161609,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
619.850,-1.230,-3.620,0.0000,0.0000,0.0000,0.0000,-0.200,0.000,-0.0000,0.0000,0.710,619.850,1776802571.242121,1.655,9,20260421_161609,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
619.900,-1.240,-3.620,0.0000,0.0000,0.0000,0.0000,-0.100,0.000,-0.0000,0.0000,0.710,619.900,1776802571.306501,1.720,10,20260421_161609,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
