t_s,L_angle_deg,R_angle_deg,teensy_t_cs_u16,teensy_t_s_unwrapped,L_cmd_Nm,R_cmd_Nm,L_est_Nm,R_est_Nm,L_vel_dps,R_vel_dps,L_pwr_W,R_pwr_W,signal_source_mode,signal_source_active,power_source_mode,power_source_active,raw_L_angle_deg,raw_R_angle_deg,raw_L_vel_dps,raw_R_vel_dps,raw_L_cmd_Nm,raw_R_cmd_Nm,sync_L_angle_deg,sync_R_angle_deg,sync_L_vel_dps,sync_R_vel_dps,sync_L_cmd_Nm,sync_R_cmd_Nm,phys_L_pwr_W,phys_R_pwr_W,ctrl_L_pwr_W,ctrl_R_pwr_W,sync_sample_id,sync_from_pi,gait_freq_Hz,t_unwrapped_s,wall_time_s,wall_elapsed_s,csv_sample_idx,csv_session_id,algo_name,gui_tag,rx_tag_char,rx_tag_text,align_event,rl_cfg_tx_seq,rpi_online,rpi_status_version,rpi_nn_type,rpi_delay_ms_L,rpi_delay_ms_R,rpi_power_ratio_L,rpi_power_ratio_R,rpi_pos_per_s_L,rpi_pos_per_s_R,rpi_neg_per_s_L,rpi_neg_per_s_R
132.340,2.090,4.020,13234,132.340,0.0000,0.0000,0.5000,0.4700,0.100,-0.200,0.0000,0.0000,Auto,Raw,Auto,Control,2.090,4.020,0.100,-0.200,0.0000,0.0000,2.090,4.020,0.100,-0.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.530,132.340,1776912364.561631,0.789,0,20260422_224603,EG,R,R,R,serial_connected:/dev/cu.usbmodem101,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
132.390,2.230,4.050,13239,132.390,0.0000,0.0000,0.0000,0.0000,6.900,0.200,0.0000,0.0000,Auto,Raw,Auto,Control,2.230,4.050,6.900,0.200,0.0000,0.0000,2.230,4.050,6.900,0.200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.530,132.390,1776912364.562579,0.790,1,20260422_224603,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
132.440,2.270,4.100,13244,132.440,0.0000,0.0000,0.0000,0.0000,-0.700,0.600,0.0000,0.0000,Auto,Raw,Auto,Control,2.270,4.100,-0.700,0.600,0.0000,0.0000,2.270,4.100,-0.700,0.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.530,132.440,1776912364.649421,0.877,2,20260422_224603,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
132.490,2.260,4.050,13249,132.490,0.0000,0.0000,0.0000,0.0000,-1.700,0.100,0.0000,0.0000,Auto,Raw,Auto,Control,2.260,4.050,-1.700,0.100,0.0000,0.0000,2.260,4.050,-1.700,0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.530,132.490,1776912364.650302,0.878,3,20260422_224603,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
132.540,2.260,4.040,13254,132.540,0.0000,0.0000,0.0000,0.0000,0.100,-0.400,0.0000,0.0000,Auto,Raw,Auto,Control,2.260,4.040,0.100,-0.400,0.0000,0.0000,2.260,4.040,0.100,-0.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.530,132.540,1776912364.651179,0.879,4,20260422_224603,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
132.590,2.280,4.040,13259,132.590,0.0000,0.0000,0.0000,0.0000,0.500,0.700,0.0000,0.0000,Auto,Raw,Auto,Control,2.280,4.040,0.500,0.700,0.0000,0.0000,2.280,4.040,0.500,0.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.530,132.590,1776912364.705850,0.934,5,20260422_224603,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
132.640,2.310,4.060,13264,132.640,0.0000,0.0000,0.0000,0.0000,0.000,-0.100,0.0000,0.0000,Auto,Raw,Auto,Control,2.310,4.060,0.000,-0.100,0.0000,0.0000,2.310,4.060,0.000,-0.100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.530,132.640,1776912364.747716,0.976,6,20260422_224603,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
132.690,2.340,4.080,13269,132.690,0.0000,0.0000,0.0000,0.0000,0.700,0.700,0.0000,0.0000,Auto,Raw,Auto,Control,2.340,4.080,0.700,0.700,0.0000,0.0000,2.340,4.080,0.700,0.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.530,132.690,1776912364.807302,1.035,7,20260422_224603,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
132.740,2.330,4.070,13274,132.740,0.0000,0.0000,0.0000,0.0000,-0.500,-0.600,0.0000,0.0000,Auto,Raw,Auto,Control,2.330,4.070,-0.500,-0.600,0.0000,0.0000,2.330,4.070,-0.500,-0.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.530,132.740,1776912364.846851,1.075,8,20260422_224603,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
132.790,2.330,4.050,13279,132.790,0.0000,0.0000,0.0000,0.0000,-0.100,-0.700,0.0000,0.0000,Auto,Raw,Auto,Control,2.330,4.050,-0.100,-0.700,0.0000,0.0000,2.330,4.050,-0.100,-0.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.530,132.790,1776912364.906740,1.135,9,20260422_224603,EG,R,R,R,,0,1,3,254,0.000,0.000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000
