Time_ms,imu_LTx,imu_RTx,imu_Lvel,imu_Rvel,teensy_t_cs_u16,teensy_t_s_unwrapped,auto_eval_Lvel,auto_eval_Rvel,auto_vel_source,sync_sample_id,sync_LTx,sync_RTx,sync_Lvel,sync_Rvel,sync_ctrl_pwr_L,sync_ctrl_pwr_R,L_command_actuator,R_command_actuator,raw_LExoTorque,raw_RExoTorque,filtered_LExoTorque,filtered_RExoTorque,pd_zm_bias_L,pd_zm_bias_R,L_P,L_D,R_P,R_D,scale_runtime,torque_delay_ms_L,torque_delay_ms_R,auto_opt_method,auto_delay_enable,auto_motion_valid_L,auto_motion_valid_R,auto_ratio_L,auto_ratio_R,auto_pos_per_s_L,auto_pos_per_s_R,auto_neg_per_s_L,auto_neg_per_s_R,auto_best_delay_ms_L,auto_best_delay_ms_R,auto_window_s,auto_gait_freq_hz,pf_compute_ms,pf_compute_p95_ms,pf_overrun_count,pf_exception_count,pf_ess_L,pf_ess_R,pf_conf_L,pf_conf_R,pf_mode_prob_high_L,pf_mode_prob_high_R,tag
2.7283,-275.6926,-267.4034,0.0000,-0.0610,11098,110.9800,0.0000,-0.0610,angle_diff,0,0.0000,0.0000,0.0000,0.0000,0.000000,-0.000000,0.000000,0.000000,248.776535,241.565824,4.996270,4.851455,0.000000,0.000000,248.776535,-0.000000,241.562057,0.003766,0.4000,200.000,200.000,grid,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000,200.000,8.000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,SERCON
2.7344,-275.6926,-267.4089,0.0000,-0.4272,11099,110.9900,0.0000,-0.5493,angle_diff,0,0.0000,0.0000,0.0000,0.0000,0.000000,-0.000000,0.000000,0.000000,248.776535,241.621731,22.788078,22.128696,0.000000,0.000000,248.776535,-0.000000,241.595367,0.026364,0.4000,200.000,200.000,grid,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000,200.000,8.000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,SERCON
2.7444,-275.6926,-267.4089,0.0000,-0.4272,11100,111.0000,0.0000,0.0000,angle_diff,0,0.0000,0.0000,0.0000,0.0000,0.000000,-0.000000,0.000000,0.000000,248.776535,241.621731,52.353317,50.840993,0.000000,0.000000,248.776535,-0.000000,241.595367,0.026364,0.4000,200.000,200.000,grid,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000,200.000,8.000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,SERCON
2.7544,-275.6926,-267.4144,0.0000,-0.3662,11101,111.0100,0.0000,-0.5493,angle_diff,0,0.0000,0.0000,0.0000,0.0000,0.000000,-0.000000,0.000000,0.000000,248.776535,241.617980,87.094385,84.581671,0.000000,0.000000,248.776535,-0.000000,241.595383,0.022598,0.4000,200.000,200.000,grid,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000,200.000,8.000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,SERCON
2.7644,-275.6926,-267.4144,0.0000,-0.2441,11102,111.0200,0.0000,0.0000,angle_diff,0,0.0000,0.0000,0.0000,0.0000,0.000000,-0.000000,0.000000,0.000000,248.776535,241.600942,122.364110,118.836311,0.000000,0.000000,248.776535,-0.000000,241.585876,0.015065,0.4000,200.000,200.000,grid,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000,200.000,8.000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,SERCON
2.7744,-275.6926,-267.4144,0.0000,-0.1221,11103,111.0300,0.0000,0.0000,angle_diff,0,0.0000,0.0000,0.0000,0.0000,0.000000,-0.000000,0.000000,0.000000,248.776535,241.583888,155.139550,150.667684,0.000000,0.000000,248.776535,-0.000000,241.576355,0.007533,0.4000,200.000,200.000,grid,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000,200.000,8.000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,SERCON
2.7844,-275.6926,-267.4144,0.0000,0.0000,11104,111.0400,0.0000,0.0000,angle_diff,0,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,248.776535,241.566879,183.682312,178.386398,0.000000,0.000000,248.776535,-0.000000,241.566879,-0.000000,0.4000,200.000,200.000,grid,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000,200.000,8.000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,SERCON
2.7944,-275.6926,-267.4199,0.0000,-0.0610,11105,111.0500,0.0000,-0.5493,angle_diff,0,0.0000,0.0000,0.0000,0.0000,0.000000,-0.000000,0.000000,0.000000,248.776535,241.580182,207.217500,201.239954,0.000000,0.000000,248.776535,-0.000000,241.576416,0.003766,0.4000,200.000,200.000,grid,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000,200.000,8.000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,SERCON
2.8044,-275.6926,-267.4199,0.0000,0.0000,11106,111.0600,0.0000,0.0000,angle_diff,0,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,248.776535,241.571671,225.650411,219.137349,0.000000,0.000000,248.776535,-0.000000,241.571671,-0.000000,0.4000,200.000,200.000,grid,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000,200.000,8.000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,SERCON
2.8144,-275.6926,-267.4199,0.0000,0.0000,11107,111.0700,0.0000,0.0000,angle_diff,0,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,248.776535,241.571671,239.330188,232.418269,0.000000,0.000000,248.776535,-0.000000,241.571671,-0.000000,0.4000,200.000,200.000,grid,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000,200.000,8.000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,SERCON
2.8244,-275.6926,-267.4199,0.0000,-0.1221,11108,111.0800,0.0000,0.0000,angle_diff,0,0.0000,0.0000,0.0000,0.0000,0.000000,-0.000000,0.000000,0.000000,248.776535,241.588679,248.862592,241.671673,0.000000,0.000000,248.776535,-0.000000,241.581146,0.007533,0.4000,200.000,200.000,grid,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000,200.000,8.000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,SERCON
